,psgc_code,formatted_address,province,latitude,longitude,accuracy,google_place_id,type,input_string,number_of_results,status
0,110000000,"Davao Region, Philippines",,7.3041622,126.0893406,APPROXIMATE,ChIJM7RB5XuJ-TIRzHI3okcr4PM,"administrative_area_level_1,political",REGION XI (DAVAO REGION),1,OK
1,112300000,"Davao del Norte, Philippines",,7.5617699,125.6532848,APPROXIMATE,ChIJHSqPedBL-TIRi2ija0Q5qj0,"administrative_area_level_2,political",DAVAO DEL NORTE,1,OK
4,112301006,"Asunción, Paraguay",Davo Del Norte,-25.2637399,-57.575926,APPROXIMATE,ChIJ9dtpbgeoXZQRyTYZv0Z666w,"locality,political","Buan,Asuncion,Davo Del Norte",2,OK
6,112301008,"Cabaywa, Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.5646389,125.7679821,APPROXIMATE,ChIJ5wXo02iu_jIRn_1jcdLCgOg,"administrative_area_level_5,political","Cabaywa,Asuncion,Davo Del Norte",1,OK
8,112301010,"Camoning, Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.5848571,125.7461477,APPROXIMATE,ChIJQaP4jyqu_jIRmvWqin0_WNs,"administrative_area_level_5,political","Camoning,Asuncion,Davo Del Norte",1,OK
9,112301011,"Canatan, Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.591883,125.7679821,APPROXIMATE,ChIJOSMkHrCv_jIRNsiJvUSOUCQ,"administrative_area_level_5,political","Canatan,Asuncion,Davo Del Norte",1,OK
10,112301012,"Asunción, Paraguay",Davo Del Norte,-25.2637399,-57.575926,APPROXIMATE,ChIJ9dtpbgeoXZQRyTYZv0Z666w,"locality,political","Concepcion,Asuncion,Davo Del Norte",1,OK
11,112301013,"Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.6060257,125.7625241,APPROXIMATE,ChIJ83xWbMel_jIRSYBnf1v3Pw4,"locality,political","Doña Andrea,Asuncion,Davo Del Norte",1,OK
12,112301026,"Magatos, Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.5495539,125.7352283,APPROXIMATE,ChIJi1k6EQey_jIRqvzRmrGMaZ0,"administrative_area_level_5,political","Magatos,Asuncion,Davo Del Norte",1,OK
14,112301029,"Magatos - New Bantayan Rd, Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.5520225,125.7343127,GEOMETRIC_CENTER,ChIJH5cvNQKy_jIRGb_6whKDgDY,route,"New Bantayan,Asuncion,Davo Del Norte",2,OK
16,112301031,"Pamacaun, Davao del Norte, Philippines",Davo Del Norte,7.6586167,125.7352283,APPROXIMATE,ChIJVXpkNdS6_jIRnaiRZLrkqhY,"administrative_area_level_5,political","Pamacaun,Asuncion,Davo Del Norte",1,OK
17,112301032,"Cambanogoy (Pob.), Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.5384301,125.7570657,APPROXIMATE,ChIJ92dIcuqt_jIRU47m2cIRpvU,"administrative_area_level_5,political","Cambanogoy (Pob.),Asuncion,Davo Del Norte",1,OK
18,112301034,"Sagayen, Asuncion, Davao del Norte, Philippines",Davo Del Norte,7.6464099,125.7679821,APPROXIMATE,ChIJG3IEQQ6l_jIRxJe-Hd27e7g,"administrative_area_level_5,political","Sagayen,Asuncion,Davo Del Norte",1,OK
19,112301036,"San Vicente, Asunción, Paraguay",Davo Del Norte,-25.3182335,-57.6207023,APPROXIMATE,ChIJnza4UUeoXZQRlRCmKTapEDE,"neighborhood,political","San Vicente,Asuncion,Davo Del Norte",1,OK
20,112301037,"Asunción, Paraguay",Davo Del Norte,-25.2637399,-57.575926,APPROXIMATE,ChIJ9dtpbgeoXZQRyTYZv0Z666w,"locality,political","Santa Filomena,Asuncion,Davo Del Norte",1,OK
22,112301040,"New Loon, Davao del Norte, Philippines",Davo Del Norte,7.6859146,125.7352283,APPROXIMATE,ChIJaaao5je7_jIRETxa-2mRALY,"administrative_area_level_5,political","New Loon,Asuncion,Davo Del Norte",1,OK
23,112303000,"Carmen, Davao del Norte, Philippines",Davo Del Norte,7.3682098,125.6860723,APPROXIMATE,ChIJ1xqW9JhP-TIRTolgN0b-0E4,"locality,political","CARMEN,Davo Del Norte",1,OK
24,112303001,"Alejal, Carmen, Davao del Norte, Philippines",Davo Del Norte,7.385679,125.656898,APPROXIMATE,ChIJdcejvdNO-TIRYNwkO1vfTZM,"neighborhood,political","Alejal,Carmen,Davo Del Norte",1,OK
26,112303003,"Asuncion (cuatro-cuatro), Davao del Norte, Philippines",Davo Del Norte,7.3460723,125.6806086,APPROXIMATE,ChIJU9HZ62FP-TIRdtsni8l05PU,"administrative_area_level_5,political","Asuncion (Cuatro-Cuatro),Carmen,Davo Del Norte",1,OK
27,112303005,"Cebulano, Davao del Norte, Philippines",Davo Del Norte,7.3480622,125.6587503,APPROXIMATE,ChIJj7QqW0JP-TIRsN73oPtva14,"administrative_area_level_5,political","Cebulano,Carmen,Davo Del Norte",1,OK
29,112303007,"Carmen, Davao del Norte, Philippines",Davo Del Norte,7.3682098,125.6860723,APPROXIMATE,ChIJ1xqW9JhP-TIRTolgN0b-0E4,"locality,political","Ising (Pob.),Carmen,Davo Del Norte",1,OK
30,112303008,"Carmen, Davao del Norte, Philippines",Davo Del Norte,7.3682098,125.6860723,APPROXIMATE,ChIJ1xqW9JhP-TIRTolgN0b-0E4,"locality,political","La Paz,Carmen,Davo Del Norte",1,OK
31,112303010,"Mabaus, Davao del Norte, Philippines",Davo Del Norte,7.4034542,125.7461477,APPROXIMATE,ChIJZ4kzY_hR-TIR7VvSmLWNHto,"administrative_area_level_5,political","Mabaus,Carmen,Davo Del Norte",1,OK
32,112303011,"Mabuhay, Carmen, Davao del Norte, Philippines",Davo Del Norte,7.3837779,125.6396194,APPROXIMATE,ChIJrbiZtydJ-TIRArhHflpe9RY,"administrative_area_level_5,political","Mabuhay,Carmen,Davo Del Norte",1,OK
