,psgc_code,formatted_address,province,latitude,longitude,accuracy,google_place_id,type,input_string,number_of_results,status
0,120000000,"Region XII, Philippines",,6.2706918,124.6856509,APPROXIMATE,ChIJi5rGCnMU-DIR59ey-3ltPlI,"administrative_area_level_1,political",REGION XII (SOCCSKSARGEN),1,OK
1,124700000,"Cotabato City, Maguindanao, Philippines",,7.2046668,124.2310439,APPROXIMATE,ChIJqfmFEtg7VjIRU0e50bkyNPE,"locality,political",COTABATO (NORTH COTABATO),1,OK
2,124701000,"Alamada, Cotabato, Philippines",Cotabato,7.552935,124.5528387,APPROXIMATE,ChIJBTAS82-p-DIRXsAFPSsxDSM,"locality,political","ALAMADA,Cotabato",1,OK
3,124701001,"Bao, Alamada, Cotabato, Philippines",Cotabato,7.408389,124.6303372,APPROXIMATE,ChIJaXeKpK6l-DIRrEyQ5zaoNHA,"administrative_area_level_5,political","Bao,Alamada,Cotabato",1,OK
4,124701002,"Barangiran, Alamada, Cotabato, Philippines",Cotabato,7.4173686,124.5805247,APPROXIMATE,ChIJXUFTC0Km-DIRnxIAqIaNtSg,"administrative_area_level_5,political","Barangiran,Alamada,Cotabato",1,OK
5,124701003,"Camansi, Alamada, Cotabato, Philippines",Cotabato,7.3369677,124.5832928,APPROXIMATE,ChIJKSyu0nOh-DIRkoDTyWhVeLs,"administrative_area_level_5,political","Camansi,Alamada,Cotabato",1,OK
6,124701004,"Dado, Alamada, Cotabato, Philippines",Cotabato,7.4728514,124.5625298,APPROXIMATE,ChIJXXnxOfuo-DIRhYedN1MA8UM,"neighborhood,political","Dado,Alamada,Cotabato",1,OK
7,124701005,"Guiling, Cotabato, Philippines",Cotabato,7.5653407,124.6192702,APPROXIMATE,ChIJF4IEBJqs-DIRyI7n35auzoU,"administrative_area_level_5,political","Guiling,Alamada,Cotabato",1,OK
8,124701006,"Kitacubong (Pob.), Cotabato, Philippines",Cotabato,7.3542011,124.5694514,APPROXIMATE,ChIJjTCoaDyh-DIRj-2DcHJGeys,"administrative_area_level_5,political","Kitacubong (Pob.),Alamada,Cotabato",1,OK
9,124701007,"Macabasa, Alamada, Cotabato, Philippines",Cotabato,7.4497789,124.525144,APPROXIMATE,ChIJjQ8qewao-DIRukj-mAZSDzc,"administrative_area_level_5,political","Macabasa,Alamada,Cotabato",1,OK
