,code,name,submun,city,province,address
0,130000000,NATIONAL CAPITAL REGION (NCR),,,,NATIONAL CAPITAL REGION (NCR)
1,133900000,CITY OF MANILA,,,Metro Manila,"CITY OF MANILA,Metro Manila"
2,133901000,TONDO,,Manila,Metro Manila,"TONDO,Manila,Metro Manila"
3,133901001,Barangay 1,Tondo,Manila,Metro Manila,"Barangay 1,Tondo,Manila,Metro Manila"
4,133901002,Barangay 2,Tondo,Manila,Metro Manila,"Barangay 2,Tondo,Manila,Metro Manila"
5,133901003,Barangay 3,Tondo,Manila,Metro Manila,"Barangay 3,Tondo,Manila,Metro Manila"
6,133901004,Barangay 4,Tondo,Manila,Metro Manila,"Barangay 4,Tondo,Manila,Metro Manila"
7,133901005,Barangay 5,Tondo,Manila,Metro Manila,"Barangay 5,Tondo,Manila,Metro Manila"
8,133901006,Barangay 6,Tondo,Manila,Metro Manila,"Barangay 6,Tondo,Manila,Metro Manila"
9,133901007,Barangay 7,Tondo,Manila,Metro Manila,"Barangay 7,Tondo,Manila,Metro Manila"
10,133901008,Barangay 8,Tondo,Manila,Metro Manila,"Barangay 8,Tondo,Manila,Metro Manila"
11,133901009,Barangay 9,Tondo,Manila,Metro Manila,"Barangay 9,Tondo,Manila,Metro Manila"
12,133901010,Barangay 10,Tondo,Manila,Metro Manila,"Barangay 10,Tondo,Manila,Metro Manila"
13,133901011,Barangay 11,Tondo,Manila,Metro Manila,"Barangay 11,Tondo,Manila,Metro Manila"
14,133901012,Barangay 12,Tondo,Manila,Metro Manila,"Barangay 12,Tondo,Manila,Metro Manila"
15,133901013,Barangay 13,Tondo,Manila,Metro Manila,"Barangay 13,Tondo,Manila,Metro Manila"
16,133901014,Barangay 14,Tondo,Manila,Metro Manila,"Barangay 14,Tondo,Manila,Metro Manila"
17,133901015,Barangay 15,Tondo,Manila,Metro Manila,"Barangay 15,Tondo,Manila,Metro Manila"
18,133901016,Barangay 16,Tondo,Manila,Metro Manila,"Barangay 16,Tondo,Manila,Metro Manila"
19,133901017,Barangay 17,Tondo,Manila,Metro Manila,"Barangay 17,Tondo,Manila,Metro Manila"
20,133901018,Barangay 18,Tondo,Manila,Metro Manila,"Barangay 18,Tondo,Manila,Metro Manila"
21,133901019,Barangay 19,Tondo,Manila,Metro Manila,"Barangay 19,Tondo,Manila,Metro Manila"
22,133901020,Barangay 20,Tondo,Manila,Metro Manila,"Barangay 20,Tondo,Manila,Metro Manila"
23,133901025,Barangay 25,Tondo,Manila,Metro Manila,"Barangay 25,Tondo,Manila,Metro Manila"
24,133901026,Barangay 26,Tondo,Manila,Metro Manila,"Barangay 26,Tondo,Manila,Metro Manila"
25,133901028,Barangay 28,Tondo,Manila,Metro Manila,"Barangay 28,Tondo,Manila,Metro Manila"
26,133901029,Barangay 29,Tondo,Manila,Metro Manila,"Barangay 29,Tondo,Manila,Metro Manila"
27,133901030,Barangay 30,Tondo,Manila,Metro Manila,"Barangay 30,Tondo,Manila,Metro Manila"
28,133901031,Barangay 31,Tondo,Manila,Metro Manila,"Barangay 31,Tondo,Manila,Metro Manila"
29,133901032,Barangay 32,Tondo,Manila,Metro Manila,"Barangay 32,Tondo,Manila,Metro Manila"
30,133901033,Barangay 33,Tondo,Manila,Metro Manila,"Barangay 33,Tondo,Manila,Metro Manila"
31,133901034,Barangay 34,Tondo,Manila,Metro Manila,"Barangay 34,Tondo,Manila,Metro Manila"
32,133901035,Barangay 35,Tondo,Manila,Metro Manila,"Barangay 35,Tondo,Manila,Metro Manila"
33,133901036,Barangay 36,Tondo,Manila,Metro Manila,"Barangay 36,Tondo,Manila,Metro Manila"
34,133901037,Barangay 37,Tondo,Manila,Metro Manila,"Barangay 37,Tondo,Manila,Metro Manila"
35,133901038,Barangay 38,Tondo,Manila,Metro Manila,"Barangay 38,Tondo,Manila,Metro Manila"
36,133901039,Barangay 39,Tondo,Manila,Metro Manila,"Barangay 39,Tondo,Manila,Metro Manila"
37,133901041,Barangay 41,Tondo,Manila,Metro Manila,"Barangay 41,Tondo,Manila,Metro Manila"
38,133901042,Barangay 42,Tondo,Manila,Metro Manila,"Barangay 42,Tondo,Manila,Metro Manila"
39,133901043,Barangay 43,Tondo,Manila,Metro Manila,"Barangay 43,Tondo,Manila,Metro Manila"
40,133901044,Barangay 44,Tondo,Manila,Metro Manila,"Barangay 44,Tondo,Manila,Metro Manila"
41,133901045,Barangay 45,Tondo,Manila,Metro Manila,"Barangay 45,Tondo,Manila,Metro Manila"
42,133901046,Barangay 46,Tondo,Manila,Metro Manila,"Barangay 46,Tondo,Manila,Metro Manila"
43,133901047,Barangay 47,Tondo,Manila,Metro Manila,"Barangay 47,Tondo,Manila,Metro Manila"
44,133901048,Barangay 48,Tondo,Manila,Metro Manila,"Barangay 48,Tondo,Manila,Metro Manila"
45,133901049,Barangay 49,Tondo,Manila,Metro Manila,"Barangay 49,Tondo,Manila,Metro Manila"
46,133901050,Barangay 50,Tondo,Manila,Metro Manila,"Barangay 50,Tondo,Manila,Metro Manila"
47,133901051,Barangay 51,Tondo,Manila,Metro Manila,"Barangay 51,Tondo,Manila,Metro Manila"
48,133901052,Barangay 52,Tondo,Manila,Metro Manila,"Barangay 52,Tondo,Manila,Metro Manila"
49,133901053,Barangay 53,Tondo,Manila,Metro Manila,"Barangay 53,Tondo,Manila,Metro Manila"
50,133901054,Barangay 54,Tondo,Manila,Metro Manila,"Barangay 54,Tondo,Manila,Metro Manila"
51,133901055,Barangay 55,Tondo,Manila,Metro Manila,"Barangay 55,Tondo,Manila,Metro Manila"
52,133901056,Barangay 56,Tondo,Manila,Metro Manila,"Barangay 56,Tondo,Manila,Metro Manila"
53,133901057,Barangay 57,Tondo,Manila,Metro Manila,"Barangay 57,Tondo,Manila,Metro Manila"
54,133901058,Barangay 58,Tondo,Manila,Metro Manila,"Barangay 58,Tondo,Manila,Metro Manila"
55,133901059,Barangay 59,Tondo,Manila,Metro Manila,"Barangay 59,Tondo,Manila,Metro Manila"
56,133901060,Barangay 60,Tondo,Manila,Metro Manila,"Barangay 60,Tondo,Manila,Metro Manila"
57,133901061,Barangay 61,Tondo,Manila,Metro Manila,"Barangay 61,Tondo,Manila,Metro Manila"
58,133901062,Barangay 62,Tondo,Manila,Metro Manila,"Barangay 62,Tondo,Manila,Metro Manila"
59,133901063,Barangay 63,Tondo,Manila,Metro Manila,"Barangay 63,Tondo,Manila,Metro Manila"
60,133901064,Barangay 64,Tondo,Manila,Metro Manila,"Barangay 64,Tondo,Manila,Metro Manila"
61,133901065,Barangay 65,Tondo,Manila,Metro Manila,"Barangay 65,Tondo,Manila,Metro Manila"
62,133901066,Barangay 66,Tondo,Manila,Metro Manila,"Barangay 66,Tondo,Manila,Metro Manila"
63,133901067,Barangay 67,Tondo,Manila,Metro Manila,"Barangay 67,Tondo,Manila,Metro Manila"
64,133901068,Barangay 68,Tondo,Manila,Metro Manila,"Barangay 68,Tondo,Manila,Metro Manila"
65,133901069,Barangay 69,Tondo,Manila,Metro Manila,"Barangay 69,Tondo,Manila,Metro Manila"
66,133901070,Barangay 70,Tondo,Manila,Metro Manila,"Barangay 70,Tondo,Manila,Metro Manila"
67,133901071,Barangay 71,Tondo,Manila,Metro Manila,"Barangay 71,Tondo,Manila,Metro Manila"
68,133901072,Barangay 72,Tondo,Manila,Metro Manila,"Barangay 72,Tondo,Manila,Metro Manila"
69,133901073,Barangay 73,Tondo,Manila,Metro Manila,"Barangay 73,Tondo,Manila,Metro Manila"
70,133901074,Barangay 74,Tondo,Manila,Metro Manila,"Barangay 74,Tondo,Manila,Metro Manila"
71,133901075,Barangay 75,Tondo,Manila,Metro Manila,"Barangay 75,Tondo,Manila,Metro Manila"
72,133901076,Barangay 76,Tondo,Manila,Metro Manila,"Barangay 76,Tondo,Manila,Metro Manila"
73,133901077,Barangay 77,Tondo,Manila,Metro Manila,"Barangay 77,Tondo,Manila,Metro Manila"
74,133901078,Barangay 78,Tondo,Manila,Metro Manila,"Barangay 78,Tondo,Manila,Metro Manila"
75,133901079,Barangay 79,Tondo,Manila,Metro Manila,"Barangay 79,Tondo,Manila,Metro Manila"
76,133901080,Barangay 80,Tondo,Manila,Metro Manila,"Barangay 80,Tondo,Manila,Metro Manila"
77,133901081,Barangay 81,Tondo,Manila,Metro Manila,"Barangay 81,Tondo,Manila,Metro Manila"
78,133901082,Barangay 82,Tondo,Manila,Metro Manila,"Barangay 82,Tondo,Manila,Metro Manila"
79,133901083,Barangay 83,Tondo,Manila,Metro Manila,"Barangay 83,Tondo,Manila,Metro Manila"
80,133901084,Barangay 84,Tondo,Manila,Metro Manila,"Barangay 84,Tondo,Manila,Metro Manila"
81,133901085,Barangay 85,Tondo,Manila,Metro Manila,"Barangay 85,Tondo,Manila,Metro Manila"
82,133901086,Barangay 86,Tondo,Manila,Metro Manila,"Barangay 86,Tondo,Manila,Metro Manila"
83,133901087,Barangay 87,Tondo,Manila,Metro Manila,"Barangay 87,Tondo,Manila,Metro Manila"
84,133901088,Barangay 88,Tondo,Manila,Metro Manila,"Barangay 88,Tondo,Manila,Metro Manila"
85,133901089,Barangay 89,Tondo,Manila,Metro Manila,"Barangay 89,Tondo,Manila,Metro Manila"
86,133901090,Barangay 90,Tondo,Manila,Metro Manila,"Barangay 90,Tondo,Manila,Metro Manila"
87,133901091,Barangay 91,Tondo,Manila,Metro Manila,"Barangay 91,Tondo,Manila,Metro Manila"
88,133901092,Barangay 92,Tondo,Manila,Metro Manila,"Barangay 92,Tondo,Manila,Metro Manila"
89,133901093,Barangay 93,Tondo,Manila,Metro Manila,"Barangay 93,Tondo,Manila,Metro Manila"
90,133901094,Barangay 94,Tondo,Manila,Metro Manila,"Barangay 94,Tondo,Manila,Metro Manila"
91,133901095,Barangay 95,Tondo,Manila,Metro Manila,"Barangay 95,Tondo,Manila,Metro Manila"
92,133901096,Barangay 96,Tondo,Manila,Metro Manila,"Barangay 96,Tondo,Manila,Metro Manila"
93,133901097,Barangay 97,Tondo,Manila,Metro Manila,"Barangay 97,Tondo,Manila,Metro Manila"
94,133901098,Barangay 98,Tondo,Manila,Metro Manila,"Barangay 98,Tondo,Manila,Metro Manila"
