psgc_code,name,submun,city,province
130000000,NATIONAL CAPITAL REGION (NCR),,,
133900000,CITY OF MANILA,,,Metro Manila
133901000,TONDO,,Manila,Metro Manila
133901001,Barangay 1,Tondo,Manila,Metro Manila
133901002,Barangay 2,Tondo,Manila,Metro Manila
133901003,Barangay 3,Tondo,Manila,Metro Manila
133901004,Barangay 4,Tondo,Manila,Metro Manila
133901005,Barangay 5,Tondo,Manila,Metro Manila
133901006,Barangay 6,Tondo,Manila,Metro Manila
133901007,Barangay 7,Tondo,Manila,Metro Manila
133901008,Barangay 8,Tondo,Manila,Metro Manila
133901009,Barangay 9,Tondo,Manila,Metro Manila
133901010,Barangay 10,Tondo,Manila,Metro Manila
133901011,Barangay 11,Tondo,Manila,Metro Manila
133901012,Barangay 12,Tondo,Manila,Metro Manila
133901013,Barangay 13,Tondo,Manila,Metro Manila
133901014,Barangay 14,Tondo,Manila,Metro Manila
133901015,Barangay 15,Tondo,Manila,Metro Manila
133901016,Barangay 16,Tondo,Manila,Metro Manila
133901017,Barangay 17,Tondo,Manila,Metro Manila
133901018,Barangay 18,Tondo,Manila,Metro Manila
133901019,Barangay 19,Tondo,Manila,Metro Manila
133901020,Barangay 20,Tondo,Manila,Metro Manila
133901025,Barangay 25,Tondo,Manila,Metro Manila
133901026,Barangay 26,Tondo,Manila,Metro Manila
133901028,Barangay 28,Tondo,Manila,Metro Manila
133901029,Barangay 29,Tondo,Manila,Metro Manila
133901030,Barangay 30,Tondo,Manila,Metro Manila
133901031,Barangay 31,Tondo,Manila,Metro Manila
133901032,Barangay 32,Tondo,Manila,Metro Manila
133901033,Barangay 33,Tondo,Manila,Metro Manila
133901034,Barangay 34,Tondo,Manila,Metro Manila
133901035,Barangay 35,Tondo,Manila,Metro Manila
133901036,Barangay 36,Tondo,Manila,Metro Manila
133901037,Barangay 37,Tondo,Manila,Metro Manila
133901038,Barangay 38,Tondo,Manila,Metro Manila
133901039,Barangay 39,Tondo,Manila,Metro Manila
133901041,Barangay 41,Tondo,Manila,Metro Manila
133901042,Barangay 42,Tondo,Manila,Metro Manila
133901043,Barangay 43,Tondo,Manila,Metro Manila
133901044,Barangay 44,Tondo,Manila,Metro Manila
133901045,Barangay 45,Tondo,Manila,Metro Manila
133901046,Barangay 46,Tondo,Manila,Metro Manila
133901047,Barangay 47,Tondo,Manila,Metro Manila
133901048,Barangay 48,Tondo,Manila,Metro Manila
133901049,Barangay 49,Tondo,Manila,Metro Manila
133901050,Barangay 50,Tondo,Manila,Metro Manila
133901051,Barangay 51,Tondo,Manila,Metro Manila
133901052,Barangay 52,Tondo,Manila,Metro Manila
133901053,Barangay 53,Tondo,Manila,Metro Manila
133901054,Barangay 54,Tondo,Manila,Metro Manila
133901055,Barangay 55,Tondo,Manila,Metro Manila
133901056,Barangay 56,Tondo,Manila,Metro Manila
133901057,Barangay 57,Tondo,Manila,Metro Manila
133901058,Barangay 58,Tondo,Manila,Metro Manila
133901059,Barangay 59,Tondo,Manila,Metro Manila
133901060,Barangay 60,Tondo,Manila,Metro Manila
133901061,Barangay 61,Tondo,Manila,Metro Manila
133901062,Barangay 62,Tondo,Manila,Metro Manila
133901063,Barangay 63,Tondo,Manila,Metro Manila
133901064,Barangay 64,Tondo,Manila,Metro Manila
133901065,Barangay 65,Tondo,Manila,Metro Manila
133901066,Barangay 66,Tondo,Manila,Metro Manila
133901067,Barangay 67,Tondo,Manila,Metro Manila
133901068,Barangay 68,Tondo,Manila,Metro Manila
133901069,Barangay 69,Tondo,Manila,Metro Manila
133901070,Barangay 70,Tondo,Manila,Metro Manila
133901071,Barangay 71,Tondo,Manila,Metro Manila
133901072,Barangay 72,Tondo,Manila,Metro Manila
133901073,Barangay 73,Tondo,Manila,Metro Manila
133901074,Barangay 74,Tondo,Manila,Metro Manila
133901075,Barangay 75,Tondo,Manila,Metro Manila
133901076,Barangay 76,Tondo,Manila,Metro Manila
133901077,Barangay 77,Tondo,Manila,Metro Manila
133901078,Barangay 78,Tondo,Manila,Metro Manila
133901079,Barangay 79,Tondo,Manila,Metro Manila
133901080,Barangay 80,Tondo,Manila,Metro Manila
133901081,Barangay 81,Tondo,Manila,Metro Manila
133901082,Barangay 82,Tondo,Manila,Metro Manila
133901083,Barangay 83,Tondo,Manila,Metro Manila
133901084,Barangay 84,Tondo,Manila,Metro Manila
133901085,Barangay 85,Tondo,Manila,Metro Manila
133901086,Barangay 86,Tondo,Manila,Metro Manila
133901087,Barangay 87,Tondo,Manila,Metro Manila
133901088,Barangay 88,Tondo,Manila,Metro Manila
133901089,Barangay 89,Tondo,Manila,Metro Manila
133901090,Barangay 90,Tondo,Manila,Metro Manila
133901091,Barangay 91,Tondo,Manila,Metro Manila
133901092,Barangay 92,Tondo,Manila,Metro Manila
133901093,Barangay 93,Tondo,Manila,Metro Manila
133901094,Barangay 94,Tondo,Manila,Metro Manila
133901095,Barangay 95,Tondo,Manila,Metro Manila
133901096,Barangay 96,Tondo,Manila,Metro Manila
133901097,Barangay 97,Tondo,Manila,Metro Manila
133901098,Barangay 98,Tondo,Manila,Metro Manila
133901099,Barangay 99,Tondo,Manila,Metro Manila
133901100,Barangay 100,Tondo,Manila,Metro Manila
133901101,Barangay 101,Tondo,Manila,Metro Manila
133901102,Barangay 102,Tondo,Manila,Metro Manila
133901103,Barangay 103,Tondo,Manila,Metro Manila
133901104,Barangay 104,Tondo,Manila,Metro Manila
133901105,Barangay 105,Tondo,Manila,Metro Manila
133901106,Barangay 106,Tondo,Manila,Metro Manila
133901107,Barangay 107,Tondo,Manila,Metro Manila
133901108,Barangay 108,Tondo,Manila,Metro Manila
133901109,Barangay 109,Tondo,Manila,Metro Manila
133901110,Barangay 110,Tondo,Manila,Metro Manila
133901111,Barangay 111,Tondo,Manila,Metro Manila
133901112,Barangay 112,Tondo,Manila,Metro Manila
133901116,Barangay 116,Tondo,Manila,Metro Manila
133901117,Barangay 117,Tondo,Manila,Metro Manila
133901118,Barangay 118,Tondo,Manila,Metro Manila
133901119,Barangay 119,Tondo,Manila,Metro Manila
133901120,Barangay 120,Tondo,Manila,Metro Manila
133901121,Barangay 121,Tondo,Manila,Metro Manila
133901122,Barangay 122,Tondo,Manila,Metro Manila
133901123,Barangay 123,Tondo,Manila,Metro Manila
133901124,Barangay 124,Tondo,Manila,Metro Manila
133901125,Barangay 125,Tondo,Manila,Metro Manila
133901126,Barangay 126,Tondo,Manila,Metro Manila
133901127,Barangay 127,Tondo,Manila,Metro Manila
133901128,Barangay 128,Tondo,Manila,Metro Manila
133901129,Barangay 129,Tondo,Manila,Metro Manila
133901130,Barangay 130,Tondo,Manila,Metro Manila
133901131,Barangay 131,Tondo,Manila,Metro Manila
133901132,Barangay 132,Tondo,Manila,Metro Manila
133901133,Barangay 133,Tondo,Manila,Metro Manila
133901134,Barangay 134,Tondo,Manila,Metro Manila
133901135,Barangay 135,Tondo,Manila,Metro Manila
133901136,Barangay 136,Tondo,Manila,Metro Manila
133901137,Barangay 137,Tondo,Manila,Metro Manila
133901138,Barangay 138,Tondo,Manila,Metro Manila
133901139,Barangay 139,Tondo,Manila,Metro Manila
133901140,Barangay 140,Tondo,Manila,Metro Manila
133901141,Barangay 141,Tondo,Manila,Metro Manila
133901142,Barangay 142,Tondo,Manila,Metro Manila
133901143,Barangay 143,Tondo,Manila,Metro Manila
133901144,Barangay 144,Tondo,Manila,Metro Manila
133901145,Barangay 145,Tondo,Manila,Metro Manila
133901146,Barangay 146,Tondo,Manila,Metro Manila
133901147,Barangay 147,Tondo,Manila,Metro Manila
133901148,Barangay 148,Tondo,Manila,Metro Manila
133901149,Barangay 149,Tondo,Manila,Metro Manila
133901150,Barangay 150,Tondo,Manila,Metro Manila
133901151,Barangay 151,Tondo,Manila,Metro Manila
133901152,Barangay 152,Tondo,Manila,Metro Manila
133901153,Barangay 153,Tondo,Manila,Metro Manila
133901154,Barangay 154,Tondo,Manila,Metro Manila
133901155,Barangay 155,Tondo,Manila,Metro Manila
133901156,Barangay 156,Tondo,Manila,Metro Manila
133901157,Barangay 157,Tondo,Manila,Metro Manila
133901158,Barangay 158,Tondo,Manila,Metro Manila
133901159,Barangay 159,Tondo,Manila,Metro Manila
133901160,Barangay 160,Tondo,Manila,Metro Manila
133901161,Barangay 161,Tondo,Manila,Metro Manila
133901162,Barangay 162,Tondo,Manila,Metro Manila
133901163,Barangay 163,Tondo,Manila,Metro Manila
133901164,Barangay 164,Tondo,Manila,Metro Manila
133901165,Barangay 165,Tondo,Manila,Metro Manila
133901166,Barangay 166,Tondo,Manila,Metro Manila
133901167,Barangay 167,Tondo,Manila,Metro Manila
133901168,Barangay 168,Tondo,Manila,Metro Manila
133901169,Barangay 169,Tondo,Manila,Metro Manila
133901170,Barangay 170,Tondo,Manila,Metro Manila
