code,name,submun,city,province
120000000,REGION XII (SOCCSKSARGEN),,,
124700000,COTABATO (NORTH COTABATO),,,
124701000,ALAMADA,,,Cotabato
124701001,Bao,,Alamada,Cotabato
124701002,Barangiran,,Alamada,Cotabato
124701003,Camansi,,Alamada,Cotabato
124701004,Dado,,Alamada,Cotabato
124701005,Guiling,,Alamada,Cotabato
124701006,Kitacubong (Pob.),,Alamada,Cotabato
124701007,Macabasa,,Alamada,Cotabato
124701008,Malitubog,,Alamada,Cotabato
124701009,Mapurok,,Alamada,Cotabato
124701010,Pacao,,Alamada,Cotabato
124701011,Paruayan,,Alamada,Cotabato
124701012,Pigcawaran,,Alamada,Cotabato
124701013,Polayagan,,Alamada,Cotabato
124701014,Rangayen,,Alamada,Cotabato
124701015,Lower Dado,,Alamada,Cotabato
124701016,Mirasol,,Alamada,Cotabato
124701017,Raradangan,,Alamada,Cotabato
124702000,CARMEN,,,Cotabato
124702001,Aroman,,Carmen,Cotabato
124702003,Bentangan,,Carmen,Cotabato
124702005,Cadiis,,Carmen,Cotabato
124702007,General Luna,,Carmen,Cotabato
124702008,Katanayanan,,Carmen,Cotabato
124702010,Kib-Ayao,,Carmen,Cotabato
124702011,Kibenes,,Carmen,Cotabato
124702012,Kibugtongan,,Carmen,Cotabato
124702013,Kilala,,Carmen,Cotabato
124702014,Kimadzil,,Carmen,Cotabato
124702015,Kitulaan,,Carmen,Cotabato
124702016,Langogan,,Carmen,Cotabato
124702017,Lanoon,,Carmen,Cotabato
124702019,Liliongan,,Carmen,Cotabato
124702020,Ugalingan (Lumayong),,Carmen,Cotabato
124702021,Macabenban,,Carmen,Cotabato
124702022,Malapag,,Carmen,Cotabato
124702024,Manarapan,,Carmen,Cotabato
124702025,Manili,,Carmen,Cotabato
124702027,Nasapian,,Carmen,Cotabato
124702028,Palanggalan,,Carmen,Cotabato
124702030,Pebpoloan,,Carmen,Cotabato
124702032,Poblacion,,Carmen,Cotabato
124702034,Ranzo,,Carmen,Cotabato
124702035,Tacupan,,Carmen,Cotabato
124702036,Tambad,,Carmen,Cotabato
124702037,Tonganon,,Carmen,Cotabato
124702039,Tupig,,Carmen,Cotabato
124703000,KABACAN,,,Cotabato
124703001,Aringay,,Kabacan,Cotabato
124703002,Bangilan,,Kabacan,Cotabato
124703003,Bannawag,,Kabacan,Cotabato
124703004,Buluan,,Kabacan,Cotabato
124703005,Cuyapon,,Kabacan,Cotabato
124703006,Dagupan,,Kabacan,Cotabato
124703007,Katidtuan,,Kabacan,Cotabato
124703008,Kayaga,,Kabacan,Cotabato
124703009,Kilagasan,,Kabacan,Cotabato
124703010,Magatos,,Kabacan,Cotabato
124703011,Malamote,,Kabacan,Cotabato
124703012,Malanduague,,Kabacan,Cotabato
124703013,Nanga-an,,Kabacan,Cotabato
124703014,Osias,,Kabacan,Cotabato
124703015,Paatan Lower,,Kabacan,Cotabato
124703016,Paatan Upper,,Kabacan,Cotabato
124703017,Pedtad,,Kabacan,Cotabato
124703018,Pisan,,Kabacan,Cotabato
124703019,Poblacion,,Kabacan,Cotabato
124703020,Salapungan,,Kabacan,Cotabato
124703021,Sanggadong,,Kabacan,Cotabato
124703022,Simbuhay,,Kabacan,Cotabato
124703023,Simone,,Kabacan,Cotabato
124703024,Tamped,,Kabacan,Cotabato
124704000,CITY OF KIDAPAWAN,,,Cotabato
124704001,Amas,,Kidapawan,Cotabato
124704002,Amazion,,Kidapawan,Cotabato
124704003,Balabag,,Kidapawan,Cotabato
124704004,Balindog,,Kidapawan,Cotabato
124704005,Benoligan,,Kidapawan,Cotabato
124704006,Berada,,Kidapawan,Cotabato
124704007,Gayola,,Kidapawan,Cotabato
124704008,Ginatilan,,Kidapawan,Cotabato
124704009,Ilomavis,,Kidapawan,Cotabato
124704010,Indangan,,Kidapawan,Cotabato
124704011,Junction,,Kidapawan,Cotabato
124704012,Kalaisan,,Kidapawan,Cotabato
124704013,Kalasuyan,,Kidapawan,Cotabato
124704014,Katipunan,,Kidapawan,Cotabato
124704015,Lanao,,Kidapawan,Cotabato
124704016,Linangcob,,Kidapawan,Cotabato
124704017,Luvimin,,Kidapawan,Cotabato
124704018,Macabolig,,Kidapawan,Cotabato
124704020,Malinan,,Kidapawan,Cotabato
124704021,Manongol,,Kidapawan,Cotabato
124704022,Marbel (Embac),,Kidapawan,Cotabato
124704023,Mateo,,Kidapawan,Cotabato
124704024,Meochao,,Kidapawan,Cotabato
124704025,Mua-an,,Kidapawan,Cotabato
124704026,New Bohol,,Kidapawan,Cotabato
124704027,Nuangan,,Kidapawan,Cotabato
124704028,Onica,,Kidapawan,Cotabato
124704029,Paco,,Kidapawan,Cotabato
124704030,Patadon (Patadon East),,Kidapawan,Cotabato
124704031,Perez,,Kidapawan,Cotabato
124704032,Poblacion,,Kidapawan,Cotabato
124704033,San Isidro,,Kidapawan,Cotabato
124704034,San Roque,,Kidapawan,Cotabato
124704035,Santo Niño,,Kidapawan,Cotabato
124704036,Sibawan,,Kidapawan,Cotabato
124704037,Sikitan,,Kidapawan,Cotabato
124704038,Singao,,Kidapawan,Cotabato
124704039,Sudapin,,Kidapawan,Cotabato
124704040,Sumbao,,Kidapawan,Cotabato
124704041,Magsaysay,,Kidapawan,Cotabato
124705000,LIBUNGAN,,,Cotabato
124705001,Abaga,,Libungan,Cotabato
124705003,Baguer,,Libungan,Cotabato
124705004,Barongis,,Libungan,Cotabato
124705005,Batiocan,,Libungan,Cotabato
124705006,Cabaruyan,,Libungan,Cotabato
124705007,Cabpangi,,Libungan,Cotabato
124705010,Demapaco,,Libungan,Cotabato
124705011,Grebona,,Libungan,Cotabato
124705013,Gumaga,,Libungan,Cotabato
124705014,Kapayawi,,Libungan,Cotabato
124705015,Kiloyao,,Libungan,Cotabato
124705017,Kitubod,,Libungan,Cotabato
124705019,Malengen,,Libungan,Cotabato
124705023,Montay,,Libungan,Cotabato
124705024,Nica-an,,Libungan,Cotabato
124705025,Palao,,Libungan,Cotabato
124705029,Poblacion,,Libungan,Cotabato
124705032,Sinapangan,,Libungan,Cotabato
124705033,Sinawingan,,Libungan,Cotabato
124705034,Ulamian,,Libungan,Cotabato
124706000,MAGPET,,,Cotabato
124706001,Alibayon,,Magpet,Cotabato
124706005,Bagumbayan,,Magpet,Cotabato
124706006,Bangkal,,Magpet,Cotabato
124706007,Bantac,,Magpet,Cotabato
