,code,name,submun,city,province,address
0,120000000,REGION XII (SOCCSKSARGEN),,,,REGION XII (SOCCSKSARGEN)
1,124700000,COTABATO (NORTH COTABATO),,,,COTABATO (NORTH COTABATO)
2,124701000,ALAMADA,,,Cotabato,"ALAMADA,Cotabato"
3,124701001,Bao,,Alamada,Cotabato,"Bao,Alamada,Cotabato"
4,124701002,Barangiran,,Alamada,Cotabato,"Barangiran,Alamada,Cotabato"
5,124701003,Camansi,,Alamada,Cotabato,"Camansi,Alamada,Cotabato"
6,124701004,Dado,,Alamada,Cotabato,"Dado,Alamada,Cotabato"
7,124701005,Guiling,,Alamada,Cotabato,"Guiling,Alamada,Cotabato"
8,124701006,Kitacubong (Pob.),,Alamada,Cotabato,"Kitacubong (Pob.),Alamada,Cotabato"
9,124701007,Macabasa,,Alamada,Cotabato,"Macabasa,Alamada,Cotabato"
10,124701008,Malitubog,,Alamada,Cotabato,"Malitubog,Alamada,Cotabato"
11,124701009,Mapurok,,Alamada,Cotabato,"Mapurok,Alamada,Cotabato"
12,124701010,Pacao,,Alamada,Cotabato,"Pacao,Alamada,Cotabato"
13,124701011,Paruayan,,Alamada,Cotabato,"Paruayan,Alamada,Cotabato"
14,124701012,Pigcawaran,,Alamada,Cotabato,"Pigcawaran,Alamada,Cotabato"
15,124701013,Polayagan,,Alamada,Cotabato,"Polayagan,Alamada,Cotabato"
16,124701014,Rangayen,,Alamada,Cotabato,"Rangayen,Alamada,Cotabato"
17,124701015,Lower Dado,,Alamada,Cotabato,"Lower Dado,Alamada,Cotabato"
18,124701016,Mirasol,,Alamada,Cotabato,"Mirasol,Alamada,Cotabato"
19,124701017,Raradangan,,Alamada,Cotabato,"Raradangan,Alamada,Cotabato"
20,124702000,CARMEN,,,Cotabato,"CARMEN,Cotabato"
21,124702001,Aroman,,Carmen,Cotabato,"Aroman,Carmen,Cotabato"
22,124702003,Bentangan,,Carmen,Cotabato,"Bentangan,Carmen,Cotabato"
23,124702005,Cadiis,,Carmen,Cotabato,"Cadiis,Carmen,Cotabato"
24,124702007,General Luna,,Carmen,Cotabato,"General Luna,Carmen,Cotabato"
25,124702008,Katanayanan,,Carmen,Cotabato,"Katanayanan,Carmen,Cotabato"
26,124702010,Kib-Ayao,,Carmen,Cotabato,"Kib-Ayao,Carmen,Cotabato"
27,124702011,Kibenes,,Carmen,Cotabato,"Kibenes,Carmen,Cotabato"
28,124702012,Kibugtongan,,Carmen,Cotabato,"Kibugtongan,Carmen,Cotabato"
